proxy_cp	hangul	hangul_cp
U+007F	진	U+C9C4
U+0080	변	U+BCC0
U+0081	정	U+C815
U+0082	신	U+C2E0
U+0083	력	U+B825
U+0084	어	U+C5B4
U+0085	사	U+C0AC
U+0086	격	U+ACA9
U+0087	터	U+D130
U+0088	제	U+C81C
U+0089	총	U+CD1D
U+008A	않	U+C54A
U+008B	습	U+C2B5
U+008C	거	U+AC70
U+008D	니	U+B2C8
U+008E	라	U+B77C
U+008F	리	U+B9AC
U+0090	방	U+BC29
U+0091	패	U+D328
U+0097	개	U+AC1C
U+009D	오	U+C624
U+00A4	본	U+BCF8
U+00A6	다	U+B2E4
U+00A8	이	U+C774
U+00B1	획	U+D68D
U+00B4	지	U+C9C0
U+00C0	모	U+BAA8
U+00C1	든	U+B4E0
U+00C2	것	U+AC83
U+00C3	을	U+C744
U+00C4	부	U+BD80
U+00C5	대	U+B300
U+00C6	편	U+D3B8
U+00C7	성	U+C131
U+00C8	인	U+C778
U+00C9	형	U+D615
U+00CA	흙	U+D759
U+00CB	의	U+C758
U+00CC	우	U+C6B0
U+00CD	선	U+C120
U+00CE	순	U+C21C
U+00CF	위	U+C704
U+00F7	기	U+AE30
U+041C	는	U+B294
U+041E	하	U+D558
U+4E11	ㅋ	U+314B
U+4E14	가	U+AC00
U+4E1E	각	U+AC01
U+4E32	간	U+AC04
U+4E4D	갇	U+AC07
U+4E4E	갈	U+AC08
U+4E59	감	U+AC10
U+4E5D	갑	U+AC11
U+4E73	값	U+AC12
U+4E7E	갓	U+AC13
U+4E80	갔	U+AC14
U+4E91	강	U+AC15
U+4E98	갖	U+AC16
U+4E99	같	U+AC19
U+4EA5	갚	U+AC1A
U+4EA6	개	U+AC1C
U+4EAB	객	U+AC1D
U+4EAD	갬	U+AC2C
U+4EAE	갯	U+AC2F
U+4EC0	갱	U+AC31
U+4EDD	갸	U+AC38
U+4F0D	갹	U+AC39
U+4F0E	거	U+AC70
U+4F2F	걱	U+AC71
U+4F36	건	U+AC74
U+4F3D	걷	U+AC77
U+4F43	걸	U+AC78
U+4F46	검	U+AC80
U+4F51	겁	U+AC81
U+4F7C	것	U+AC83
U+4F83	겉	U+AC89
U+4F8D	게	U+AC8C
U+4FA0	겐	U+AC90
U+4FAD	겔	U+AC94
U+4FAF	겠	U+ACA0
U+4FB6	겨	U+ACA8
U+4FC4	격	U+ACA9
U+4FE3	겪	U+ACAA
U+4FF3	견	U+ACAC
U+4FF5	결	U+ACB0
U+4FF8	겸	U+ACB8
U+5026	겹	U+ACB9
U+502B	겼	U+ACBC
U+502D	경	U+ACBD
U+5036	곁	U+ACC1
U+5072	계	U+ACC4
U+5098	고	U+ACE0
U+50B5	곡	U+ACE1
U+50D1	곤	U+ACE4
U+5112	곧	U+ACE7
U+5141	골	U+ACE8
U+5147	곱	U+ACF1
U+514E	곳	U+ACF3
U+515C	공	U+ACF5
U+5176	곶	U+ACF6
U+518A	과	U+ACFC
U+51A8	곽	U+ACFD
U+51B6	관	U+AD00
U+51CB	괄	U+AD04
U+51E0	광	U+AD11
U+51E1	괘	U+AD18
U+51E7	괜	U+AD1C
U+51EA	괴	U+AD34
U+51F0	굉	U+AD49
U+51F8	교	U+AD50
U+51F9	구	U+AD6C
U+51FD	국	U+AD6D
U+5208	군	U+AD70
U+520A	굳	U+AD73
U+522E	굴	U+AD74
U+5237	굼	U+AD7C
U+5238	굽	U+AD7D
U+5239	궁	U+AD81
U+5256	권	U+AD8C
U+5270	궤	U+ADA4
U+5283	귀	U+ADC0
U+5289	귓	U+ADD3
U+52BE	규	U+ADDC
U+52C5	균	U+ADE0
U+52DF	그	U+ADF8
U+52F2	극	U+ADF9
U+52FA	근	U+ADFC
U+52FE	글	U+AE00
U+52FF	금	U+AE08
U+5301	급	U+AE09
U+5319	긋	U+AE0B
U+531D	긍	U+AE0D
U+5321	기	U+AE30
U+532A	긴	U+AE34
U+5348	길	U+AE38
U+535C	김	U+AE40
U+5366	깁	U+AE41
U+536F	깃	U+AE43
U+5375	깊	U+AE4A
U+5378	까	U+AE4C
U+537F	깎	U+AE4E
U+5398	깐	U+AE50
U+53A8	깔	U+AE54
U+53A9	깜	U+AE5C
U+53C8	깝	U+AE5D
U+53C9	깥	U+AE65
U+53D4	깨	U+AE68
U+53E2	깬	U+AE6C
U+5403	깰	U+AE70
U+540A	꺄	U+AE84
U+540B	꺼	U+AEBC
U+540F	꺾	U+AEBE
U+541F	껄	U+AEC4
U+543B	껍	U+AECD
U+543D	껏	U+AECF
U+543E	께	U+AED8
U+5448	껴	U+AEF4
U+5449	꼈	U+AF08
U+5475	꼬	U+AF2C
U+5486	꼭	U+AF2D
U+548B	꼴	U+AF34
U+54A9	꼼	U+AF3C
U+54B2	꼽	U+AF3D
U+54BD	꽁	U+AF41
U+54E9	꽂	U+AF42
U+54EE	꽃	U+AF43
U+5504	꽈	U+AF48
U+5507	꽝	U+AF5D
